timer,roll,pitch,yaw,accel_x,accel_y,accel_z
 1.26140, 0.73329,-0.47275,-0.06659, 6.08329,-1.86362, 3.52126
 1.26249, 0.72799,-0.47850,-0.06131, 6.02822,-1.79027, 3.49040
 1.26358, 0.72280,-0.48422,-0.05614, 5.97453,-1.71908, 3.45588
 1.26466, 0.71771,-0.48994,-0.05107, 5.92219,-1.65033, 3.41827
 1.26575, 0.71269,-0.49566,-0.04608, 5.87138,-1.58510, 3.37786
 1.26685, 0.70776,-0.50140,-0.04118, 5.82235,-1.52444, 3.33468
 1.26794, 0.70289,-0.50715,-0.03634, 5.77501,-1.46855, 3.28857
 1.26902, 0.69808,-0.51293,-0.03154, 5.72883,-1.41667, 3.23951
 1.27011, 0.69331,-0.51875,-0.02678, 5.68343,-1.36836, 3.18749
 1.27120, 0.68859,-0.52459,-0.02204, 5.64836,-1.33769, 3.13284
 1.27228, 0.70067,-0.47705,-0.04139, 5.61344,-1.31106, 3.07647
 1.27750, 0.69587,-0.48507,-0.03596, 5.56605,-1.29142, 3.00766
 1.27859, 0.69104,-0.49313,-0.03044, 5.51676,-1.27556, 2.93652
 1.27967, 0.68617,-0.50122,-0.02481, 5.46594,-1.26331, 2.86381
 1.28076, 0.68126,-0.50933,-0.01907, 5.41346,-1.25456, 2.79021
 1.28185, 0.67629,-0.51745,-0.01319, 5.35918,-1.24905, 2.71613
 1.28293, 0.67125,-0.52557,-0.00716, 5.30313,-1.24655, 2.64186
 1.28402, 0.66614,-0.53369,-0.00097, 5.24543,-1.24702, 2.56792
 1.28511, 0.66098,-0.54181, 0.00538, 5.18624,-1.25026, 2.49491
 1.28619, 0.65575,-0.54992, 0.01187, 5.12579,-1.25595, 2.42312
 1.28728, 0.65046,-0.55799, 0.01850, 5.07025,-1.26867, 2.36590
 1.28837, 0.66463,-0.51971, 0.00476, 5.01435,-1.28340, 2.31179
 1.29360, 0.65905,-0.52907, 0.01291, 4.95043,-1.30102, 2.26178
 1.29469, 0.65345,-0.53826, 0.02127, 4.88667,-1.31939, 2.21546
 1.29577, 0.64783,-0.54726, 0.02980, 4.82366,-1.33812, 2.17300
 1.29686, 0.64219,-0.55606, 0.03849, 4.76144,-1.35684, 2.13431
 1.29795, 0.63652,-0.56465, 0.04733, 4.69999,-1.37529, 2.09936
 1.29904, 0.63082,-0.57302, 0.05631, 4.63927,-1.39320, 2.06804
 1.30013, 0.62510,-0.58116, 0.06539, 4.57913,-1.41022, 2.04016
 1.30122, 0.61937,-0.58907, 0.07454, 4.51954,-1.42605, 2.01554
 1.30230, 0.61365,-0.59674, 0.08373, 4.46069,-1.44048, 1.99392
 1.30339, 0.60793,-0.60418, 0.09294, 4.41467,-1.44964, 1.98585
